book_id,chap_id,term_str,n,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
1497,8,enemy,5,0.0003183672743708,NN,0.0003183672743708,0.0,0.0003183672743708,0.0003183672743708,0.0,0.0,0.0,0.0,-0.0003183672743708
1497,8,engaged,1,0.0001379291888036,VBN,0.0,0.0001379291888036,0.0,0.0,0.0001379291888036,0.0,0.0,0.0001379291888036,0.0001379291888036
1497,8,enslaved,1,0.0002850161349138,VBN,0.0002850161349138,0.0,0.0002850161349138,0.0002850161349138,0.0,0.0002850161349138,0.0,0.0,-0.0002850161349138
1497,8,entrails,2,0.0010273049570241,NNS,0.0,0.0,0.0010273049570241,0.0,0.0,0.0,0.0,0.0,-0.0010273049570241
1497,8,equality,3,0.0004795740992546,NN,0.0,0.0,0.0,0.0,0.0004795740992546,0.0,0.0,0.0004795740992546,0.0004795740992546
1497,8,escape,3,0.0001484417323405,VB,0.0,0.0001484417323405,0.0,0.0001484417323405,0.0,0.0,0.0,0.0,0.0
1497,8,established,1,0.0001521220662309,VBN,0.0,0.0,0.0,0.0,0.0001521220662309,0.0,0.0,0.0,0.0001521220662309
1497,8,esteem,1,0.0002850161349138,NN,0.0,0.0,0.0,0.0,0.0002850161349138,0.0002850161349138,0.0,0.0002850161349138,0.0002850161349138
1497,8,evident,1,0.0001135497051123,JJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001135497051123,0.0001135497051123
1497,8,evil,11,0.0001312776738852,NN,0.0001312776738852,0.0,0.0001312776738852,0.0001312776738852,0.0,0.0001312776738852,0.0,0.0,-0.0001312776738852
1497,8,excellent,2,7.341898094442663e-05,JJ,0.0,0.0,0.0,0.0,7.341898094442663e-05,0.0,0.0,7.341898094442663e-05,7.341898094442663e-05
1497,8,execution,1,0.0001863537240329,NN,0.0001863537240329,0.0,0.0,0.0001863537240329,0.0,0.0001863537240329,0.0,0.0001863537240329,-0.0001863537240329
1497,8,exile,2,0.0003361868612151,NN,0.0003361868612151,0.0,0.0,0.0003361868612151,0.0,0.0003361868612151,0.0,0.0,-0.0003361868612151
1497,8,expect,2,0.0001958102253522,VB,0.0,0.0001958102253522,0.0,0.0,0.0,0.0,0.0001958102253522,0.0001958102253522,0.0001958102253522
