raw_title,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
THE REPUBLIC,0.06282961590658837,0.05775726881721426,0.04099230752408593,0.07437996597907659,0.14839136793290367,0.08298048141485644,0.03490949768089196,0.19461754902859196,0.0840796457800653
CRITIAS,0.007597009648851181,0.010846450819599243,0.004573734201421656,0.010259271157388164,0.014204965385030502,0.00928977712852555,0.006802169706385315,0.016243924885794476,0.002150921996051937
TIMAEUS,0.008435289401195574,0.010383792988290156,0.007273075685156904,0.011869493813758375,0.016117265286591173,0.009357060132416925,0.005238583000679253,0.021424931657454332,0.007536316772321827
LYSIS,0.07797626294909683,0.07010996066095906,0.0530369854953267,0.07964434138264119,0.2140622138063542,0.09244976551816092,0.030283921538611706,0.2179471477096789,0.10534039641095445
CHARMIDES,0.02718236067828399,0.052432912258289895,0.015118801971421899,0.03915972710936288,0.15999857231191936,0.04923777595272173,0.037649998228704094,0.21160542467111498,0.17632008503785615
LACHES,0.027902230549495977,0.036270497889775516,0.015575785844784237,0.05006374422632012,0.09362720523852978,0.027949999316612587,0.03211251124118345,0.12371294672002953,0.10875219692668968
PROTAGORAS,0.03456213107196772,0.03879186885289311,0.020458728782204207,0.05600997492443804,0.07651626219519397,0.031219212429333024,0.03368659494189451,0.107219685887549,0.05607095329659858
EUTHYDEMUS,0.062278043172205165,0.08297605817203402,0.03255607841056577,0.0509769016729049,0.10492543074371567,0.0629314571294319,0.046101916688143986,0.16232438973192248,0.07416687886290754
SYMPOSIUM,0.014240846988716176,0.017225764482129303,0.010485308518329574,0.017588850096609137,0.04548095582652642,0.017777926820229294,0.009153326793015906,0.03999849203882972,0.030573140545784694
CRATYLUS,0.03192443606626907,0.04460909914180754,0.017646114797004855,0.03356010951076207,0.12447243550829243,0.037253533682225524,0.030695773819530935,0.1710376011107357,0.11387534213736489
ION,0.036706752717952505,0.1067184741901204,0.01330673928614301,0.04343660849795504,0.1241175674523508,0.08466175366988668,0.0706798512712779,0.13633507208056098,0.12661527099586212
PHAEDRUS,0.032378286665845246,0.036205648546122536,0.02109566340784637,0.026602033679019105,0.06275484015666409,0.029079045079014952,0.02390237973903237,0.07228984486039182,0.041100045590355454
EUTHYPHRO,0.07554678009670371,0.039254595372115154,0.05971469153415206,0.0858286864128819,0.11061196769503372,0.09197866900966954,0.039300667437068754,0.1565142935918687,0.05811384645447966
MENO,0.0397417388717657,0.037773453366702785,0.29465768527161845,0.042677519821168734,0.10981884186313116,0.03283654447868325,0.03499281344515864,0.1983054903703043,-0.12040840823399027
APOLOGY,0.019462266680888112,0.03081372076153806,0.008583615439270487,0.021159788520371647,0.028337485335862753,0.014615072622726235,0.014953418509189784,0.03868151194883015,0.01865117689444445
CRITO,0.060712477260480444,0.031168520852491714,0.03468478713289641,0.06937678575158555,0.037568092108768936,0.06151928630040393,0.024261484699169066,0.05508550989127,-0.021647702817941667
PHAEDO,0.04824736615761489,0.03745882158253639,0.027741113593648125,0.05395738652075683,0.12201107243043945,0.05269570792172223,0.029472625567956,0.13602226421929625,0.06694271542988413
GORGIAS,0.0646771887613738,0.05140804221945119,0.05381540999108502,0.07272016522021993,0.08842506419955519,0.07622022527767983,0.03277054291585483,0.10211070889632397,0.014010526469944107
LESSER HIPPIAS,0.09475244616142112,0.05123041788329332,0.08625862980084646,0.07877198590818238,0.08838188498068685,0.10214060131378323,0.033743744281017826,0.1414663384063216,0.012731979506022097
ALCIBIADES I,0.07422588655849001,0.09449171226501109,0.0539084099709439,0.07990204708365127,0.2145130670307387,0.09913685649150417,0.058851855097642465,0.27560574945001154,0.1663564401802069
ALCIBIADES II,0.07939591559102185,0.07182776825900061,0.04813002652192669,0.10401761841474463,0.08840384294622862,0.0780071359648841,0.027554068645280805,0.10321153172298585,-0.00727049059462048
ERYXIAS,0.04947057455832666,0.038729126240824384,0.04723751134386313,0.056841874100213824,0.09273067774778118,0.0567240952028739,0.02465665244443997,0.11395825104158004,0.05314068022177065
MENEXENUS,0.015262493495049151,0.020093853534692684,0.009957345807943442,0.012481051903346578,0.022891759368879834,0.007684253699353963,0.010645404920052445,0.03471067395336159,0.016628861693422887
PARMENIDES,0.05771367913129594,0.04318769415839214,0.026509379697338836,0.06400971279733857,0.6759793537594613,0.36963122328231046,0.04321317795978005,0.7342993711265284,0.33157269899357084
THEAETETUS,0.029832290984878277,0.04876481407602441,0.022484787853862345,0.033853811752609445,0.11283673245282284,0.040717782864861135,0.027918393596629367,0.14458468053093004,0.07417275330926025
SOPHIST,0.05673057707174746,0.06071743298978332,0.027597350388462803,0.13135740626769452,0.1379372047326425,0.058469058143056835,0.03784540617689742,0.1722497172478111,0.02090666501270046
STATESMAN,0.02065935793679316,0.26352796122431676,0.01069595447345006,0.06192177438135914,0.3045889502041938,0.03629375332661406,0.25194617411232284,0.08966042533393435,0.2510119071240729
PHILEBUS,0.060146186556391805,0.07447721652802035,0.035446032297808724,0.07228410203395862,0.18505606005325792,0.08339483104884331,0.05610759675299454,0.21553382802141738,0.10924047151432947
LAWS,0.019958530329188633,0.026897013872284273,0.012281532767552323,0.03355895830954547,0.05363089094393617,0.02960632921844337,0.016208113500703825,0.06812604590782911,0.026556828400578148
