term_str,n,p,i,n_chars,cat_pos,max_pos,stop,stem_porter,stem_snowball,stem_lancaster,n_pos,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,df,idf,dfidf
yes,1751,0.0023700563480558,8.720862925076805,3,"{'IN', 'CC', 'UH', 'CD', 'POS', 'NNP', 'NN', 'VBP', 'LS', 'VBZ', 'NNS', 'VB', 'RB', 'VBN', 'PRP', 'JJ', 'PRP$'}",NNP,0,ye,yes,ye,17,0.000770905686598781,0.035461661583543934,0.0007262718823057249,0.001923861045969617,46,0.28379296600059134,13.054476436027201
megillus,161,0.0002179206579308,12.163909415395748,8,"{'NNS', 'NNP', 'NN'}",NNP,0,megillu,megillus,megill,3,0.003076398512150817,0.033840383633658995,0.0014901772679743,0.016282408484190755,11,2.347923303420307,25.827156337623375
replied,491,0.0006645903294662,10.55524707919567,7,"{'NN', 'VBP', 'VBD', 'VBZ', 'VB', 'VBN', 'JJ'}",VBD,0,repli,repli,reply,7,0.0011600745382193338,0.03364216160836067,0.0010606344843369815,0.002991200890029858,29,0.9493739269300321,27.531843880970932
eryxias,36,4.872760053113085e-05,14.32490129206805,7,"{'NNP', 'NN', 'VBZ'}",NNP,0,eryxia,eryxia,eryxia,3,0.0325798312597902,0.0325798312597902,0.0325798312597902,0.0325798312597902,1,5.807354922057604,5.807354922057604
rhapsode,28,3.789924485754621e-05,14.68747137145276,8,{'NN'},NN,0,rhapsod,rhapsod,rhapsod,1,0.03140929840015702,0.03140929840015702,0.03140929840015702,0.03140929840015702,1,5.807354922057604,5.807354922057604
air,231,0.0003126687700747,11.643077252094306,3,"{'NNP', 'NN', 'VBP', 'VB', 'NNS', 'RB', 'JJ'}",NN,0,air,air,air,7,0.0011557041003011706,0.02889260250752927,0.00011311479022777364,0.010275464347606952,25,1.1634987322828796,29.08746830707199
timaeus,98,0.0001326473570014,12.880116449395157,7,"{'NNP', 'NN', 'IN'}",NNP,0,timaeu,timaeus,timae,3,0.004117986848010671,0.028825907936074695,0.004076086956521739,0.006796556411418214,7,3.0,21.0
plato,179,0.0002422844581964,12.011010516246108,5,"{'VB', 'NNP', 'NN'}",NNP,0,plato,plato,plato,3,0.000921803403043291,0.02857590549434202,9.285574789624823e-05,0.006958248758528825,31,0.8531586116707288,26.447916961792593
platos,18,2.4363800265565424e-05,15.32490129206805,6,{'NNP'},NNP,0,plato,plato,plato,1,0.004026164660761034,0.028183152625327237,0.0020380434782608695,0.01284796573875803,7,3.0,21.0
will,4713,0.0063792550362005,7.292396327495011,4,"{'MD', 'IN', 'WRB', 'CD', 'NNP', 'NN', 'POS', 'VBP', 'VBD', 'VBZ', 'VB', 'RB', 'PRP', 'JJ'}",MD,1,will,will,wil,14,0.0005206422123944152,0.027594037256904007,0.0005041537667834787,0.0011651175143070904,53,0.07943446749440491,4.210026777203461
