book_id,chap_id,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
1497,1,2.532928107838201e-05,2.5329280648449553e-05,2.532928116170914e-05,2.5329281142897727e-05,0.2236454766770239,2.5329281094500403e-05,2.5329280648449553e-05,0.10117839097838341,2.5329281218683652e-05,0.6747455345677257,2.5329281148593194e-05,2.5329280648449553e-05,2.532928114939476e-05,2.532928108013065e-05,2.532928104373027e-05,2.532928114705297e-05,2.5329280648449553e-05,2.53292812227938e-05,2.5329281136861554e-05,2.5329280648449553e-05
1497,2,2.669514212730079e-05,2.6695141484275973e-05,0.1671928281561613,2.6695142037687565e-05,0.27999393257395366,2.6695141968819405e-05,2.6695141484275973e-05,0.5039991864118785,2.6695141968381486e-05,0.037659580680941745,2.6695142139104863e-05,2.6695141484275973e-05,2.66951421630435e-05,2.6695142127059282e-05,2.6695142042218016e-05,2.66951421130749e-05,2.6695141484275973e-05,2.6695142182981427e-05,0.01075404504877382,2.6695141484275973e-05
1497,3,0.14966816138206523,2.1267545725243486e-05,0.08825052974463524,2.1267546134815873e-05,0.761719760590488,2.126754605221598e-05,2.1267545725243486e-05,2.1267546238352752e-05,2.1267546142947515e-05,2.1267546221212766e-05,2.12675462050128e-05,2.1267545725243486e-05,2.126754626379151e-05,2.1267546245131757e-05,2.126754607875582e-05,2.1267546213288834e-05,2.1267545725243486e-05,2.1267546186272793e-05,2.1267546203416445e-05,2.1267545725243486e-05
1497,4,2.5458248919842464e-05,2.545824847252309e-05,2.545824901780274e-05,2.5458249102245557e-05,0.9995162932719139,2.545824888180739e-05,2.545824847252309e-05,2.5458249051994796e-05,2.545824885974373e-05,2.5458249012643814e-05,2.5458249043819288e-05,2.545824847252309e-05,2.5458248939157756e-05,2.5458249090764405e-05,2.5458248786776044e-05,2.545824893241429e-05,2.545824847252309e-05,2.545824905470322e-05,2.545824902970034e-05,2.545824847252309e-05
1497,5,2.074688837840104e-05,2.0746887966824183e-05,2.0746888388182284e-05,2.074688849055567e-05,0.8311473542907286,2.074688827999716e-05,2.0746887966824183e-05,0.07071100255337943,2.0746888402060418e-05,2.074688837310119e-05,2.0746888456267528e-05,2.0746887966824183e-05,2.0746888421014074e-05,2.0746888365275762e-05,2.0746888453993597e-05,2.0746888368319067e-05,2.0746887966824183e-05,0.09778894605520917,2.074688847151885e-05,2.0746887966824183e-05
1497,6,2.634352005433981e-05,2.634351949423046e-05,0.1426140108716879,0.08917565975093235,0.662469038405863,2.6343520153662037e-05,2.634351949423046e-05,2.6343520134917482e-05,2.634351992289462e-05,2.6343520084639605e-05,0.10531979465318796,2.634351949423046e-05,2.6343520139675375e-05,2.6343520195725385e-05,2.634351983289718e-05,2.6343520109340733e-05,2.634351949423046e-05,2.6343520057075453e-05,2.6343520172406134e-05,2.634351949423046e-05
1497,7,2.6014568685070743e-05,2.601456815819158e-05,0.09349981808022068,2.6014568849351018e-05,0.5963221994184132,2.6014568813855665e-05,2.601456815819158e-05,2.6014568689063802e-05,2.6014568563846972e-05,2.6014568624917834e-05,2.60145687831142e-05,2.601456815819158e-05,2.6014568703288362e-05,2.6014568823623866e-05,2.6014568502546317e-05,2.601456868291588e-05,2.601456815819158e-05,2.6014568723857127e-05,0.30973573483612954,2.601456815819158e-05
1497,8,2.564102609772747e-05,2.5641025641044003e-05,2.5641026148287864e-05,2.5641026099495846e-05,0.9995128205062269,2.5641025945043677e-05,2.5641025641044003e-05,2.5641026118118573e-05,2.56410261406784e-05,2.5641026104950003e-05,2.564102613498341e-05,2.5641025641044003e-05,2.564102610070538e-05,2.56410262120716e-05,2.564102609419674e-05,2.564102607144195e-05,2.5641025641044003e-05,2.564102624300176e-05,2.564102605712585e-05,2.5641025641044003e-05
1497,9,2.9274005315491456e-05,2.9274004683867163e-05,0.1376908580987037,0.13093961170068474,0.7308718721136862,2.9274005141162454e-05,2.9274004683867163e-05,2.9274005305373794e-05,2.9274005265115107e-05,2.9274005420067825e-05,2.9274005303134852e-05,2.9274004683867163e-05,2.9274005478253066e-05,2.927400530534884e-05,2.927400514308154e-05,2.9274005226736475e-05,2.9274004683867163e-05,2.9274005408040072e-05,2.9274005194223935e-05,2.9274004683867163e-05
1497,10,2.496255682775801e-05,2.4962556165769403e-05,0.8532692574761668,2.4962556695352928e-05,0.14628141650585222,2.4962556527426047e-05,2.4962556165769403e-05,2.496255672160299e-05,2.496255667786937e-05,2.496255676808211e-05,2.49625567601291e-05,2.4962556165769403e-05,2.496255666106948e-05,2.4962556681480815e-05,2.4962556662844532e-05,2.4962556730044324e-05,2.4962556165769403e-05,2.496255677226708e-05,2.4962556666134005e-05,2.4962556165769403e-05
